"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast"
"137",2019-01-01 11:20:00,6.33866666666667,131.366666666667,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2019-01-01 11:25:00,6.31283333333333,128.308333333333,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2019-01-01 11:30:00,6.287,125.25,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2019-01-01 11:35:00,6.26116666666667,122.191666666667,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2019-01-01 11:40:00,6.23533333333333,119.133333333333,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",2019-01-01 11:45:00,6.2095,116.075,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",2019-01-01 11:50:00,6.18366666666667,113.016666666667,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",2019-01-01 11:55:00,6.15783333333333,109.958333333333,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",2019-01-01 12:00:00,6.132,106.9,-2e-05,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",2019-01-01 12:05:00,6.09516666666667,103.715833333333,-2e-05,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",2019-01-01 12:10:00,6.05833333333333,100.531666666667,-2e-05,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",2019-01-01 12:15:00,6.0215,97.3475,-2e-05,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
